label,type,family,covars,n_tests,mean_mae_rate,sd_mae_rate,mean_rmse_rate,mean_mae_log,mean_cor_rate,mean_mae_count,sd_mae_count,mean_rmse_count,mean_cor_count,mean_zero_acc,skill_mae_rate,skill_rmse_rate,skill_mae_count,skill_rmse_count,rank_rate,rank_count
"Hurdle GLM (island_basin_year, log(max_wind_speed) & log(sdi))",hurdle,glm,island_basin_year,25,1.5955510496727228,0.8261364556355685,14.756416326833225,2.2481402802143045,-0.10482598899195848,388.81933949014604,253.51307079603237,5304.07589352212,0.004789377124391924,0.48054953000723066,0.7017630357589026,0.01628456568460246,0.8424453813126072,0.3380611958300679,41.0,214.0
"Hurdle GLM (island_basin_year, log(max_wind_speed))",hurdle,glm,island_basin_year,25,1.5935430617090454,0.8266840513590921,14.754871305151239,2.2361536976543395,-0.09476785892115427,387.54834206424266,254.20590049694755,5303.667642069705,0.005872903346235024,0.4834417932031815,0.702138364542424,0.016387562350002716,0.8429604058868823,0.33811214485184604,33.0,208.0
"Hurdle GLM (island_basin_year, log(sdi))",hurdle,glm,island_basin_year,25,1.6049888625449666,0.8291483371816787,14.760948119839082,2.2083952965936917,-0.05745299327628041,399.9488202014266,251.16689792111876,5328.636703695829,0.002458605695849057,0.48575560375994215,0.699998940112655,0.015982460171567014,0.8379355719704231,0.33499605241164787,82.0,258.0
"Hurdle GLM (island_basin_year, no log)",hurdle,glm,island_basin_year,25,1.6043293800995788,0.8338280489770279,14.76027754137887,2.195781971796545,-0.049706686146158856,396.97180493541117,251.6999541621555,5327.887726856337,0.002427432524832245,0.4883586406362979,0.7001222091503476,0.016027163327578586,0.8391418970099097,0.3350895233278709,78.0,254.0
"Hurdle GLM_INT (base, log(max_wind_speed) & log(sdi))",hurdle,glm_int,base,25,1.600590250768191,0.8249234162131739,14.759334062026614,2.2918397373531634,-0.12992636715626782,388.9407736666895,251.93341354001907,5298.258723717025,0.005805684947611845,0.46941431670281997,0.7008211191481986,0.016090059032078607,0.8423961746157231,0.33878716779987716,70.0,215.0
"Hurdle GLM_INT (base, log(max_wind_speed))",hurdle,glm_int,base,25,1.5990669171082859,0.8251633629169238,14.757941728757844,2.2832499068682357,-0.11933268783251298,389.736227953956,252.05947440360382,5298.858840718277,0.0060774277111159,0.47288503253796094,0.7011058573935525,0.01618287694232612,0.842073846263749,0.33871227431453765,65.0,218.0
"Hurdle GLM_INT (base, log(sdi))",hurdle,glm_int,base,25,1.8293262544520619,0.7937665648507124,14.945611985428203,2.2013749463005703,-0.030907453708160792,456.51816001306565,218.11390170328932,5364.779228967263,0.0006391430240822256,0.48300795372378885,0.6580662782013603,0.0036721071212781897,0.815012944780357,0.3304855324948659,215.0,440.0
"Hurdle GLM_INT (base, no log)",hurdle,glm_int,base,25,1.6798626779045063,0.8233746568007896,14.778693673963835,2.2006503373578488,-0.03498755178531236,422.8267549730595,238.1104108882772,5334.960701309207,0.003260401229354423,0.48604483007953725,0.6860036878776619,0.01479947813200122,0.8286651372898173,0.33420682927423284,115.0,308.0
"Hurdle GLM_INT (basin, log(max_wind_speed) & log(sdi))",hurdle,glm_int,basin,25,1.5984245848388838,0.8251378583466783,14.757246712144672,2.274373909759743,-0.10726135142464957,383.6328384138371,255.0077357917197,5298.795154132858,0.010961518725707413,0.47143890093998553,0.7012259207573037,0.016229209232927033,0.8445470185420494,0.3387202222819198,62.0,198.0
"Hurdle GLM_INT (basin, log(max_wind_speed))",hurdle,glm_int,basin,25,1.5968437173389816,0.8254362208299698,14.755732371274183,2.2654376779889738,-0.09595002683507965,383.21715642252786,255.39258253578097,5299.032206308429,0.01051400811889858,0.47216196673897326,0.7015214131040607,0.016330160605816046,0.844715458254235,0.33869063861140436,49.0,195.0
